start_iso,step,case,command,vfc_backends,outdir,wall_s,exit,steps,fallbacks,logfile
2026-07-19T13:0x,1,brio_baseline_fp64,"mhd1d_clang18_fp64 800 0.1 0.4 muscl hlld","",results/mhd/vprec/step1/native_fp64,,0,760,0,logs/mhd/vprec_step1/baseline_fp64.log
2026-07-19T13:0x,1,brio_native_fp32,"mhd1d_clang18_fp32 800 0.1 0.4 muscl hlld","",results/mhd/vprec/step1/native_fp32,,0,760,0,logs/mhd/vprec_step1/native_fp32.log
2026-07-19T13:0x,1,brio_vprec_t52,"mhd1d_vfc_fp64 800 0.1 0.4 muscl hlld","vprec t52 ob",results/mhd/vprec/step1/vprec_t52,,0,760,0,logs/mhd/vprec_step1/vprec_t52.log
2026-07-19T13:0x,1,brio_vprec_t23,"mhd1d_vfc_fp64 800 0.1 0.4 muscl hlld","vprec t23 ob",results/mhd/vprec/step1/vprec_t23,,0,760,0,logs/mhd/vprec_step1/vprec_t23.log
2026-07-19T13:3x,2a,scan1d_baseline_eps1e-4,"mhd1d_clang18_fp64_eps1e-4 800 0.1 0.4 muscl hlld","",results/mhd/vprec/scan1d/native_fp64,,0,760,0,logs/mhd/vprec_scan1d/native_fp64.log
2026-07-19T13:3x,2a,scan1d_t16,"mhd1d_vfc_fp64_eps1e-4 800 0.1 0.4 muscl hlld","vprec t16 ob",results/mhd/vprec/scan1d/t16,,0,760,0,logs/mhd/vprec_scan1d/t16.log
2026-07-19T13:3x,2a,scan1d_t20,"mhd1d_vfc_fp64_eps1e-4 800 0.1 0.4 muscl hlld","vprec t20 ob",results/mhd/vprec/scan1d/t20,,0,760,0,logs/mhd/vprec_scan1d/t20.log
2026-07-19T13:3x,2a,scan1d_t23,"mhd1d_vfc_fp64_eps1e-4 800 0.1 0.4 muscl hlld","vprec t23 ob",results/mhd/vprec/scan1d/t23,,0,760,0,logs/mhd/vprec_scan1d/t23.log
2026-07-19T13:3x,2a,scan1d_t28,"mhd1d_vfc_fp64_eps1e-4 800 0.1 0.4 muscl hlld","vprec t28 ob",results/mhd/vprec/scan1d/t28,,0,760,0,logs/mhd/vprec_scan1d/t28.log
2026-07-19T13:3x,2a,scan1d_t32,"mhd1d_vfc_fp64_eps1e-4 800 0.1 0.4 muscl hlld","vprec t32 ob",results/mhd/vprec/scan1d/t32,,0,760,0,logs/mhd/vprec_scan1d/t32.log
2026-07-19T13:3x,2a,scan1d_t40,"mhd1d_vfc_fp64_eps1e-4 800 0.1 0.4 muscl hlld","vprec t40 ob",results/mhd/vprec/scan1d/t40,,0,760,0,logs/mhd/vprec_scan1d/t40.log
2026-07-19T13:3x,2a,scan1d_t52,"mhd1d_vfc_fp64_eps1e-4 800 0.1 0.4 muscl hlld","vprec t52 ob",results/mhd/vprec/scan1d/t52,,0,760,0,logs/mhd/vprec_scan1d/t52.log
2026-07-19T14:05,2d,ot192_native_fp64,"mhd2d_clang18_fp64_eps1e-4 192 192 0.5 0.25 muscl hlld 0.18","",results/mhd/vprec/scan2d/native_fp64,~240,0,1936,13372,logs/mhd/vprec_scan2d/native_fp64.log
2026-07-19T14:08,2d,ot192_vprec_t52,"mhd2d_vfc_fp64_eps1e-4 192 192 0.5 0.25 muscl hlld 0.18","vprec t52 ob",results/mhd/vprec/scan2d/t52,3937,0,1936,13372,logs/mhd/vprec_scan2d/t52.log
