# 布局/layout = 1D Brio-Wu   点数/N = 800   列/cols = 10
# fp64 = brio_wu_muscl_hlld_fp64_N800.dat
# fp32 = brio_wu_muscl_hlld_fp64_N800.dat
 var           L1      L2(RMS)         Linf      relL2
--------------------------------------------------------
 rho   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  vx   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  vy   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  vz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   p   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  Bx   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  By   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  Bz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   E   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
