# 布局/layout = 1D Brio-Wu   点数/N = 800   列/cols = 10
# fp64 = brio_wu_muscl_hlld_fp64_N800.dat
# fp32 = brio_wu_muscl_hlld_fp32_N800.dat
 var           L1      L2(RMS)         Linf      relL2
--------------------------------------------------------
 rho   2.2045e-07   5.2813e-07   6.7166e-06   7.73e-07
  vx   5.1236e-07   2.1960e-06   4.4017e-05   6.73e-06
  vy   6.1747e-07   3.5434e-06   7.1054e-05   5.34e-06
  vz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   p   2.7261e-07   1.1846e-06   2.7200e-05   1.80e-06
  Bx   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  By   3.1843e-07   1.0926e-06   2.1060e-05   1.25e-06
  Bz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   E   4.6022e-07   1.5950e-06   3.4070e-05   1.14e-06
