iso,backend,prec,N,rep,loop_wall_s,e2e_wall_s,user_s,sys_s,cpu_ratio,load1,steps,fallbacks,accepted
2026-07-20T01:26:14+01:00,cpu,fp32,256,1,467.477,468.06,399.15,17.63,0.890,70.89,2595,37403,no
2026-07-20T01:26:31+01:00,cpu,fp64,256,1,508.096,508.73,421.52,35.42,0.898,70.67,2595,37382,no
2026-07-20T01:34:02+01:00,cpu,fp32,256,2,473.918,474.75,407.23,17.56,0.895,70.63,2595,37403,no
2026-07-20T01:35:00+01:00,cpu,fp64,256,2,520.353,521.49,432.17,34.56,0.895,70.11,2595,37382,no
2026-07-20T01:41:57+01:00,cpu,fp32,256,3,448.017,448.72,394.67,17.46,0.918,69.60,2595,37403,no
2026-07-20T01:43:42+01:00,cpu,fp64,256,3,503.985,505.06,420.17,35.26,0.902,69.89,2595,37382,no
2026-07-20T01:49:26+01:00,cpu,fp32,256,4,458.558,459.35,400.27,17.19,0.909,70.31,2595,37403,no
2026-07-20T01:52:07+01:00,cpu,fp64,256,4,522.848,523.68,426.38,34.62,0.880,70.54,2595,37382,no
2026-07-20T01:57:05+01:00,cpu,fp32,256,5,480.066,480.59,405.53,17.10,0.879,70.19,2595,37403,no
2026-07-20T02:00:51+01:00,cpu,fp64,256,5,499.401,500.02,423.79,34.45,0.916,69.25,2595,37382,no
2026-07-20T02:05:06+01:00,cpu,fp32,384,1,1656.47,1657.71,1381.87,61.86,0.871,68.85,3917,145084,no
2026-07-20T02:09:11+01:00,cpu,fp64,384,1,1817.9,1820.51,1466.34,122.01,0.872,68.83,3917,144928,no
2026-07-20T02:32:44+01:00,cpu,fp32,384,2,1611.1,1612.25,1375.43,63.25,0.892,69.53,3917,145084,no
2026-07-20T02:39:32+01:00,cpu,fp64,384,2,1716.69,1718.12,1455.08,122.95,0.918,69.87,3917,144928,no
2026-07-20T02:59:37+01:00,cpu,fp32,384,3,1544.67,1546.04,1354.81,61.09,0.916,69.83,3917,145084,no
2026-07-20T03:08:11+01:00,cpu,fp64,384,3,1688.97,1690.68,1433.90,121.44,0.920,70.55,3917,144928,no
2026-07-20T03:25:23+01:00,cpu,fp32,512,1,3565.26,3567.99,3179.94,144.59,0.932,70.19,5239,374647,no
2026-07-20T03:36:22+01:00,cpu,fp64,512,1,3975.29,3978.28,3372.67,289.48,0.921,70.39,5239,374632,no
2026-07-20T04:24:51+01:00,cpu,fp32,512,2,3646.29,3648.40,3204.64,150.14,0.920,70.62,5239,374647,no
2026-07-20T14:10:06+01:00,cpu,fp32,256,1,380.013,380.27,359.51,20.57,1.000,41.62,2595,37403,yes
2026-07-20T14:10:24+01:00,cpu,fp64,256,1,369.284,369.68,334.28,35.26,1.000,41.57,2595,37382,yes
2026-07-23T00:43:03+01:00,cpu,fp64,512,v2r1,2401.01,2403.46,2191.44,211.87,1.000,34.19,5239,374632,yes
2026-07-23T01:23:07+01:00,cpu,fp64,512,v2r2,3369.74,3371.01,3097.13,273.59,1.000,38.52,5239,374632,yes
2026-07-23T02:19:18+01:00,cpu,fp64,512,v2r3,2974.79,2976.08,2708.18,267.69,1.000,35.50,5239,374632,yes
2026-07-23T03:08:54+01:00,cpu,fp32,512,v2r1,2034.79,2035.89,1928.15,107.58,1.000,35.79,5239,374647,yes
2026-07-23T03:42:50+01:00,cpu,fp32,512,v2r2,2256.49,2257.53,2141.07,116.28,1.000,35.80,5239,374647,yes
2026-07-23T04:20:28+01:00,cpu,fp32,512,v2r3,1920.97,1921.98,1817.71,104.15,1.000,35.08,5239,374647,yes
2026-07-23T04:52:30+01:00,cpu,fp64,384,v2r1,1109.29,1109.97,1004.05,105.81,1.000,35.50,3917,144928,yes
2026-07-23T05:11:00+01:00,cpu,fp64,384,v2r2,1292.2,1293.38,1191.23,101.99,1.000,35.28,3917,144928,yes
2026-07-23T05:32:34+01:00,cpu,fp64,384,v2r3,1098.79,1099.50,992.50,106.83,1.000,35.65,3917,144928,yes
2026-07-23T05:50:53+01:00,cpu,fp32,384,v2r1,787.21,787.75,748.20,39.51,1.000,35.22,3917,145084,yes
2026-07-23T06:04:01+01:00,cpu,fp32,384,v2r2,1017.88,1018.89,964.14,54.58,1.000,35.62,3917,145084,yes
2026-07-23T06:21:00+01:00,cpu,fp32,384,v2r3,1237.07,1238.16,1183.53,54.51,1.000,35.34,3917,145084,yes
2026-07-23T06:41:38+01:00,cpu,fp64,256,v2r1,437.633,438.18,403.49,34.64,1.000,35.44,2595,37382,yes
2026-07-23T06:48:57+01:00,cpu,fp64,256,v2r2,336.296,336.61,302.06,34.49,1.000,36.07,2595,37382,yes
2026-07-23T06:54:33+01:00,cpu,fp64,256,v2r3,359.5,359.81,324.63,35.11,1.000,35.88,2595,37382,yes
2026-07-23T07:00:33+01:00,cpu,fp64,256,v2r4,420.111,420.71,388.29,32.41,1.000,35.18,2595,37382,yes
2026-07-23T07:07:34+01:00,cpu,fp32,256,v2r1,384.919,385.33,369.97,15.31,1.000,35.37,2595,37403,yes
2026-07-23T07:14:00+01:00,cpu,fp32,256,v2r2,269.918,270.19,258.78,11.37,1.000,35.23,2595,37403,yes
2026-07-23T07:18:30+01:00,cpu,fp32,256,v2r3,270.086,270.58,259.55,11.01,1.000,35.37,2595,37403,yes
2026-07-23T07:23:01+01:00,cpu,fp32,256,v2r4,352.64,352.91,335.35,17.51,1.000,35.13,2595,37403,yes
2026-07-25T08:39:34+01:00,cpu,fp64,512,q1,1751.92,1753.00,1598.56,154.20,1.000,2.04,5239,374632,yes
2026-07-25T09:08:47+01:00,cpu,fp64,512,q2,1761.51,1762.55,1610.77,151.52,1.000,2.25,5239,374632,yes
2026-07-25T09:38:09+01:00,cpu,fp64,512,q3,1758.61,1759.79,1606.25,153.17,1.000,2.00,5239,374632,yes
2026-07-25T10:07:29+01:00,cpu,fp32,512,q1,1567.53,1568.41,1491.13,77.05,1.000,2.08,5239,374647,yes
2026-07-25T10:33:38+01:00,cpu,fp32,512,q2,1566.7,1567.58,1490.42,76.93,1.000,2.27,5239,374647,yes
2026-07-25T10:59:46+01:00,cpu,fp32,512,q3,1562.89,1563.77,1487.25,76.32,1.000,2.60,5239,374647,yes
2026-07-25T11:25:50+01:00,cpu,fp64,256,q1,224.827,225.22,207.42,17.63,0.999,2.99,2595,37382,yes
2026-07-25T11:29:36+01:00,cpu,fp64,256,q2,223.976,224.26,206.50,17.70,1.000,2.68,2595,37382,yes
2026-07-25T11:33:20+01:00,cpu,fp64,256,q3,223.316,223.59,205.55,17.99,1.000,2.17,2595,37382,yes
2026-07-25T11:37:04+01:00,cpu,fp64,256,q4,222.54,222.81,205.18,17.58,1.000,3.38,2595,37382,yes
2026-07-25T11:40:47+01:00,cpu,fp32,256,q1,196.151,196.37,189.31,7.04,1.000,2.24,2595,37403,yes
2026-07-25T11:44:04+01:00,cpu,fp32,256,q2,195.55,195.83,188.85,6.90,1.000,2.08,2595,37403,yes
2026-07-25T11:47:20+01:00,cpu,fp32,256,q3,195.882,196.10,189.08,7.00,1.000,2.42,2595,37403,yes
2026-07-25T11:50:36+01:00,cpu,fp32,256,q4,195.989,196.29,189.16,7.10,1.000,2.41,2595,37403,yes
2026-07-25T11:53:53+01:00,cpu,fp64,384,q1,749.912,750.50,685.43,64.99,1.000,2.14,3917,144928,yes
2026-07-25T12:06:23+01:00,cpu,fp64,384,q2,753.687,754.26,688.61,65.55,1.000,2.14,3917,144928,yes
2026-07-25T12:18:58+01:00,cpu,fp64,384,q3,756.719,757.30,691.37,65.84,1.000,2.27,3917,144928,yes
2026-07-25T12:31:35+01:00,cpu,fp32,384,q1,662.803,663.33,632.61,30.59,1.000,2.24,3917,145084,yes
2026-07-25T12:42:39+01:00,cpu,fp32,384,q2,665.213,665.87,634.57,31.20,1.000,2.18,3917,145084,yes
2026-07-25T12:53:45+01:00,cpu,fp32,384,q3,659.85,660.32,629.62,30.64,1.000,2.03,3917,145084,yes
