iso,round,variant,loop_wall_s
2026-08-03T08:15:39+01:00,1,fp64,15.870
2026-08-03T08:15:57+01:00,1,fp64_fastmath,15.846
2026-08-03T08:16:08+01:00,1,fp32,8.587
2026-08-03T08:16:18+01:00,1,fp32_fastmath,6.956
2026-08-03T08:16:36+01:00,2,fp64,15.811
2026-08-03T08:16:55+01:00,2,fp64_fastmath,15.914
2026-08-03T08:17:05+01:00,2,fp32,8.615
2026-08-03T08:17:15+01:00,2,fp32_fastmath,6.882
2026-08-03T08:17:33+01:00,3,fp64,15.856
2026-08-03T08:17:52+01:00,3,fp64_fastmath,15.842
2026-08-03T08:18:02+01:00,3,fp32,8.609
2026-08-03T08:18:11+01:00,3,fp32_fastmath,6.905
2026-08-03T08:18:30+01:00,4,fp64,15.794
2026-08-03T08:18:48+01:00,4,fp64_fastmath,15.905
2026-08-03T08:18:59+01:00,4,fp32,8.655
2026-08-03T08:19:09+01:00,4,fp32_fastmath,6.897
2026-08-03T08:19:27+01:00,5,fp64,15.844
2026-08-03T08:19:46+01:00,5,fp64_fastmath,15.863
2026-08-03T08:19:57+01:00,5,fp32,8.622
2026-08-03T08:20:06+01:00,5,fp32_fastmath,6.847
2026-08-03T08:20:24+01:00,6,fp64,15.850
2026-08-03T08:20:43+01:00,6,fp64_fastmath,15.843
2026-08-03T08:20:53+01:00,6,fp32,8.580
2026-08-03T08:21:02+01:00,6,fp32_fastmath,6.845
