iso,backend,prec,N,rep,loop_wall_s,e2e_wall_s,load1,steps,fallbacks
2026-07-26T14:00:36+01:00,gpu,fp64,256,1,1.746,2.54,33.78,2595,37382
2026-07-26T14:00:39+01:00,gpu,fp64,256,2,1.747,2.57,33.78,2595,37382
2026-07-26T14:00:41+01:00,gpu,fp64,256,3,1.751,2.56,33.79,2595,37382
2026-07-26T14:00:44+01:00,gpu,fp64,256,4,1.746,2.60,33.79,2595,37382
2026-07-26T14:00:46+01:00,gpu,fp64,256,5,1.753,2.97,33.81,2595,37382
2026-07-26T14:00:49+01:00,gpu,fp64,256,6,1.752,3.50,33.83,2595,37382
2026-07-26T14:00:53+01:00,gpu,fp64,256,7,1.822,2.69,33.83,2595,37382
2026-07-26T14:00:56+01:00,gpu,fp64,256,8,1.752,2.61,33.84,2595,37382
2026-07-26T14:00:58+01:00,gpu,fp64,256,9,1.768,2.63,33.84,2595,37382
2026-07-26T14:01:01+01:00,gpu,fp64,256,10,1.762,2.63,33.85,2595,37382
2026-07-26T14:01:17+01:00,gpu,fp64,384,1,5.139,6.61,34.02,3917,144929
2026-07-26T14:01:24+01:00,gpu,fp64,384,2,5.174,6.82,34.02,3917,144929
2026-07-26T14:01:31+01:00,gpu,fp64,384,3,5.148,6.71,34.10,3917,144929
2026-07-26T14:01:37+01:00,gpu,fp64,384,4,5.160,6.72,34.24,3917,144929
2026-07-26T14:01:44+01:00,gpu,fp64,384,5,5.123,6.06,34.22,3917,144929
2026-07-26T14:01:50+01:00,gpu,fp64,384,6,5.120,6.01,34.20,3917,144929
2026-07-26T14:01:56+01:00,gpu,fp64,384,7,5.127,6.55,34.33,3917,144929
2026-07-26T14:02:03+01:00,gpu,fp64,384,8,5.152,6.59,34.46,3917,144929
2026-07-26T14:02:10+01:00,gpu,fp64,384,9,5.195,6.74,34.50,3917,144929
2026-07-26T14:02:16+01:00,gpu,fp64,384,10,5.141,6.62,34.66,3917,144929
2026-07-26T14:02:51+01:00,gpu,fp64,512,1,11.291,13.89,34.38,5239,374657
2026-07-26T14:03:05+01:00,gpu,fp64,512,2,11.232,13.63,34.29,5239,374657
2026-07-26T14:03:18+01:00,gpu,fp64,512,3,11.252,13.83,34.25,5239,374657
2026-07-26T14:03:32+01:00,gpu,fp64,512,4,11.245,13.70,34.19,5239,374657
2026-07-26T14:03:46+01:00,gpu,fp64,512,5,11.291,13.86,34.15,5239,374657
2026-07-26T14:04:00+01:00,gpu,fp64,512,6,11.254,13.79,34.12,5239,374657
2026-07-26T14:04:14+01:00,gpu,fp64,512,7,11.262,13.68,34.10,5239,374657
2026-07-26T14:04:28+01:00,gpu,fp64,512,8,11.251,13.81,34.23,5239,374657
2026-07-26T14:04:41+01:00,gpu,fp64,512,9,11.253,13.66,34.40,5239,374657
2026-07-26T14:04:55+01:00,gpu,fp64,512,10,11.276,13.75,34.45,5239,374657
2026-07-26T14:05:13+01:00,gpu,fp32,256,1,1.027,1.80,34.42,2595,37380
2026-07-26T14:05:14+01:00,gpu,fp32,256,2,1.028,1.80,34.42,2595,37380
2026-07-26T14:05:16+01:00,gpu,fp32,256,3,1.021,1.79,34.38,2595,37380
2026-07-26T14:05:18+01:00,gpu,fp32,256,4,1.042,1.81,34.38,2595,37380
2026-07-26T14:05:20+01:00,gpu,fp32,256,5,1.020,1.82,34.38,2595,37380
2026-07-26T14:05:22+01:00,gpu,fp32,256,6,1.015,1.72,34.35,2595,37380
2026-07-26T14:05:24+01:00,gpu,fp32,256,7,1.017,1.73,34.35,2595,37380
2026-07-26T14:05:25+01:00,gpu,fp32,256,8,1.020,1.73,34.35,2595,37380
2026-07-26T14:05:27+01:00,gpu,fp32,256,9,1.025,1.78,34.32,2595,37380
2026-07-26T14:05:29+01:00,gpu,fp32,256,10,1.017,1.74,34.32,2595,37380
2026-07-26T14:05:39+01:00,gpu,fp32,384,1,2.702,3.55,34.42,3917,145070
2026-07-26T14:05:42+01:00,gpu,fp32,384,2,2.655,3.52,34.39,3917,145070
2026-07-26T14:05:46+01:00,gpu,fp32,384,3,2.659,3.52,34.36,3917,145070
2026-07-26T14:05:50+01:00,gpu,fp32,384,4,2.655,3.53,34.57,3917,145070
2026-07-26T14:05:53+01:00,gpu,fp32,384,5,2.726,4.08,34.57,3917,145070
