iso,backend,prec,N,rep,loop_wall_s,e2e_wall_s,load1,steps,fallbacks
2026-07-26T13:44:12+01:00,gpu,fp64,256,1,38.839,39.92,34.00,2595,37382
2026-07-26T13:44:52+01:00,gpu,fp64,256,2,38.872,39.73,34.46,2595,37382
2026-07-26T13:45:32+01:00,gpu,fp64,256,3,39.198,40.31,34.24,2595,37382
2026-07-26T13:46:12+01:00,gpu,fp64,256,4,39.129,40.20,34.16,2595,37382
2026-07-26T13:46:52+01:00,gpu,fp64,256,5,38.970,40.13,34.16,2595,37382
2026-07-26T13:47:33+01:00,gpu,fp64,256,6,39.235,40.33,34.36,2595,37382
2026-07-26T13:48:13+01:00,gpu,fp64,256,7,37.725,38.88,34.35,2595,37382
2026-07-26T13:48:52+01:00,gpu,fp64,256,8,34.708,35.83,34.35,2595,37382
2026-07-26T13:49:28+01:00,gpu,fp64,256,9,37.922,39.00,34.48,2595,37382
2026-07-26T13:50:07+01:00,gpu,fp64,256,10,37.540,38.64,34.39,2595,37382
2026-07-26T13:52:46+01:00,gpu,fp64,384,1,63.537,65.27,34.17,3917,144929
2026-07-26T13:53:52+01:00,gpu,fp64,384,2,64.046,65.88,34.30,3917,144929
2026-07-26T13:54:58+01:00,gpu,fp64,384,3,64.155,65.87,34.23,3917,144929
2026-07-26T13:56:04+01:00,gpu,fp64,384,4,64.202,66.00,34.47,3917,144929
2026-07-26T13:57:10+01:00,gpu,fp64,384,5,64.232,65.98,34.29,3917,144929
