iso,backend,prec,N,rep,loop_wall_s,e2e_wall_s,load1,steps,fallbacks
2026-07-20T01:23:33+01:00,gpu,fp64,256,1,15.299,17.53,69.24,2595,37382
2026-07-20T01:23:50+01:00,gpu,fp64,256,2,14.930,17.25,69.25,2595,37382
2026-07-20T01:24:08+01:00,gpu,fp64,256,3,8.562,10.91,69.21,2595,37382
2026-07-20T01:24:19+01:00,gpu,fp64,256,4,12.440,15.30,69.39,2595,37382
2026-07-20T01:24:34+01:00,gpu,fp64,256,5,14.811,16.93,69.42,2595,37382
2026-07-20T01:24:51+01:00,gpu,fp64,256,6,14.610,17.19,69.33,2595,37382
2026-07-20T01:25:08+01:00,gpu,fp64,256,7,9.439,11.31,69.78,2595,37382
2026-07-20T01:25:20+01:00,gpu,fp64,256,8,12.331,14.48,69.97,2595,37382
2026-07-20T01:25:34+01:00,gpu,fp64,256,9,15.675,17.92,70.34,2595,37382
2026-07-20T01:25:52+01:00,gpu,fp64,256,10,14.397,16.48,70.35,2595,37382
2026-07-20T01:27:13+01:00,gpu,fp64,384,1,24.646,27.57,69.30,3917,144929
2026-07-20T01:27:40+01:00,gpu,fp64,384,2,32.026,34.70,69.84,3917,144929
2026-07-20T01:28:15+01:00,gpu,fp64,384,3,24.188,27.01,69.54,3917,144929
2026-07-20T01:28:42+01:00,gpu,fp64,384,4,31.219,34.22,69.39,3917,144929
2026-07-20T01:29:17+01:00,gpu,fp64,384,5,24.961,27.78,69.54,3917,144929
2026-07-20T01:29:45+01:00,gpu,fp64,384,6,35.311,38.60,69.62,3917,144929
2026-07-20T01:30:23+01:00,gpu,fp64,384,7,28.693,32.23,70.26,3917,144929
2026-07-20T01:30:56+01:00,gpu,fp64,384,8,28.806,31.46,71.32,3917,144929
2026-07-20T01:31:27+01:00,gpu,fp64,384,9,180.269,183.16,71.02,3917,144929
2026-07-20T01:34:30+01:00,gpu,fp64,384,10,471.645,475.11,70.28,3917,144929
2026-07-20T01:44:18+01:00,gpu,fp64,512,1,53.089,57.04,70.00,5239,374657
2026-07-20T01:45:15+01:00,gpu,fp64,512,2,51.515,55.37,69.85,5239,374657
2026-07-20T01:46:11+01:00,gpu,fp64,512,3,51.771,55.81,69.81,5239,374657
2026-07-20T01:47:07+01:00,gpu,fp64,512,4,51.397,55.51,70.00,5239,374657
2026-07-20T01:48:02+01:00,gpu,fp64,512,5,56.747,60.77,69.62,5239,374657
2026-07-20T01:49:03+01:00,gpu,fp64,512,6,53.794,58.71,69.48,5239,374657
2026-07-20T01:50:02+01:00,gpu,fp64,512,7,54.876,58.93,69.55,5239,374657
2026-07-20T01:51:01+01:00,gpu,fp64,512,8,649.714,653.82,70.28,5239,374657
2026-07-20T02:01:55+01:00,gpu,fp64,512,9,55.144,58.33,70.78,5239,374657
2026-07-20T02:02:54+01:00,gpu,fp64,512,10,55.680,60.22,70.17,5239,374657
2026-07-20T02:04:16+01:00,gpu,fp32,256,1,10.949,13.89,70.28,2595,37380
2026-07-20T02:04:30+01:00,gpu,fp32,256,2,8.948,10.70,70.32,2595,37380
2026-07-20T02:04:41+01:00,gpu,fp32,256,3,7.838,10.08,70.26,2595,37380
2026-07-20T02:04:51+01:00,gpu,fp32,256,4,6.743,8.46,70.32,2595,37380
2026-07-20T02:05:00+01:00,gpu,fp32,256,5,7.713,9.50,70.19,2595,37380
2026-07-20T02:05:09+01:00,gpu,fp32,256,6,11.432,13.63,70.16,2595,37380
2026-07-20T02:05:23+01:00,gpu,fp32,256,7,9.326,11.77,70.05,2595,37380
2026-07-20T02:05:35+01:00,gpu,fp32,256,8,7.826,10.08,70.04,2595,37380
2026-07-20T02:05:45+01:00,gpu,fp32,256,9,7.898,9.69,69.96,2595,37380
2026-07-20T02:05:55+01:00,gpu,fp32,256,10,7.099,9.01,69.88,2595,37380
2026-07-20T02:06:51+01:00,gpu,fp32,384,1,20.147,22.60,69.74,3917,145070
2026-07-20T02:07:14+01:00,gpu,fp32,384,2,22.113,24.99,69.62,3917,145070
2026-07-20T02:07:39+01:00,gpu,fp32,384,3,15.059,18.05,69.89,3917,145070
2026-07-20T02:07:57+01:00,gpu,fp32,384,4,21.919,24.57,69.78,3917,145070
2026-07-20T02:08:22+01:00,gpu,fp32,384,5,19.992,22.74,69.70,3917,145070
2026-07-20T02:08:44+01:00,gpu,fp32,384,6,16.842,20.05,69.30,3917,145070
2026-07-20T02:09:05+01:00,gpu,fp32,384,7,24.191,27.13,69.59,3917,145070
2026-07-20T02:09:32+01:00,gpu,fp32,384,8,15.893,18.83,69.66,3917,145070
2026-07-20T02:09:51+01:00,gpu,fp32,384,9,210.440,213.60,70.32,3917,145070
2026-07-20T02:13:24+01:00,gpu,fp32,384,10,434.107,437.73,70.64,3917,145070
2026-07-20T02:21:53+01:00,gpu,fp32,512,1,36.494,40.93,70.39,5239,374969
2026-07-20T02:22:34+01:00,gpu,fp32,512,2,41.344,45.68,70.02,5239,374969
2026-07-20T02:23:20+01:00,gpu,fp32,512,3,34.341,38.29,70.35,5239,374969
2026-07-20T02:23:59+01:00,gpu,fp32,512,4,36.945,41.75,70.00,5239,374969
2026-07-20T02:24:41+01:00,gpu,fp32,512,5,37.533,41.28,69.84,5239,374969
2026-07-20T02:25:22+01:00,gpu,fp32,512,6,29.474,32.92,69.78,5239,374969
2026-07-20T02:25:55+01:00,gpu,fp32,512,7,35.917,39.73,70.02,5239,374969
2026-07-20T02:26:35+01:00,gpu,fp32,512,8,34.291,37.83,70.14,5239,374969
2026-07-20T02:27:13+01:00,gpu,fp32,512,9,31.073,34.27,70.07,5239,374969
2026-07-20T02:27:47+01:00,gpu,fp32,512,10,37.446,40.93,69.91,5239,374969
