iso,backend,prec,N,rep,loop_wall_s,e2e_wall_s,load1,steps,fallbacks
2026-07-25T08:15:33+01:00,gpu,fp64,256,1,2.549,3.28,1.30,2595,37382
2026-07-25T08:15:36+01:00,gpu,fp64,256,2,2.530,3.33,1.35,2595,37382
2026-07-25T08:15:39+01:00,gpu,fp64,256,3,2.524,3.36,1.41,2595,37382
2026-07-25T08:15:43+01:00,gpu,fp64,256,4,2.527,3.38,1.45,2595,37382
2026-07-25T08:15:46+01:00,gpu,fp64,256,5,2.527,3.28,1.45,2595,37382
2026-07-25T08:15:50+01:00,gpu,fp64,256,6,2.528,3.28,1.50,2595,37382
2026-07-25T08:15:53+01:00,gpu,fp64,256,7,2.524,3.25,1.54,2595,37382
2026-07-25T08:15:56+01:00,gpu,fp64,256,8,2.523,3.25,1.54,2595,37382
2026-07-25T08:16:00+01:00,gpu,fp64,256,9,2.527,3.26,1.57,2595,37382
2026-07-25T08:16:03+01:00,gpu,fp64,256,10,2.523,3.26,1.61,2595,37382
2026-07-25T08:16:23+01:00,gpu,fp64,384,1,7.264,8.37,1.88,3917,144929
2026-07-25T08:16:31+01:00,gpu,fp64,384,2,7.263,8.31,1.89,3917,144929
2026-07-25T08:16:40+01:00,gpu,fp64,384,3,7.270,8.32,1.91,3917,144929
2026-07-25T08:16:48+01:00,gpu,fp64,384,4,7.269,8.31,2.00,3917,144929
2026-07-25T08:16:56+01:00,gpu,fp64,384,5,7.266,8.30,2.00,3917,144929
2026-07-25T08:17:05+01:00,gpu,fp64,384,6,7.263,8.31,2.00,3917,144929
2026-07-25T08:17:13+01:00,gpu,fp64,384,7,18.160,19.16,2.28,3917,144929
2026-07-25T08:17:38+01:00,gpu,fp64,256,1,13.524,14.17,2.55,2595,37382
2026-07-25T08:17:32+01:00,gpu,fp64,384,8,19.371,20.35,2.55,3917,144929
2026-07-25T08:17:53+01:00,gpu,fp64,256,2,12.481,13.28,2.62,2595,37382
2026-07-25T08:17:53+01:00,gpu,fp64,384,9,19.095,20.05,2.68,3917,144929
2026-07-25T08:18:06+01:00,gpu,fp64,256,3,9.287,9.98,2.68,2595,37382
2026-07-25T08:18:16+01:00,gpu,fp64,256,4,13.625,14.40,2.82,2595,37382
2026-07-25T08:18:13+01:00,gpu,fp64,384,10,17.803,18.76,2.83,3917,144929
2026-07-25T08:18:30+01:00,gpu,fp64,256,5,10.981,11.67,2.86,2595,37382
2026-07-25T08:18:42+01:00,gpu,fp64,256,6,16.620,17.30,2.97,2595,37382
2026-07-25T08:18:59+01:00,gpu,fp64,256,7,8.933,9.65,2.98,2595,37382
2026-07-25T08:19:09+01:00,gpu,fp64,256,8,16.617,17.43,3.12,2595,37382
2026-07-25T08:19:27+01:00,gpu,fp64,256,9,11.284,12.07,3.18,2595,37382
2026-07-25T08:19:39+01:00,gpu,fp64,256,10,16.631,17.43,3.13,2595,37382
2026-07-25T08:19:38+01:00,gpu,fp64,512,1,33.990,35.34,3.17,5239,374657
2026-07-25T08:20:14+01:00,gpu,fp64,512,2,36.307,37.71,3.14,5239,374657
2026-07-25T08:20:51+01:00,gpu,fp64,384,1,26.157,27.09,3.09,3917,144929
2026-07-25T08:20:51+01:00,gpu,fp64,512,3,36.589,37.98,3.08,5239,374657
2026-07-25T08:21:18+01:00,gpu,fp64,384,2,24.308,25.31,3.06,3917,144929
2026-07-25T08:21:30+01:00,gpu,fp64,512,4,36.619,38.00,3.16,5239,374657
2026-07-25T08:21:43+01:00,gpu,fp64,384,3,24.312,25.50,3.16,3917,144929
2026-07-25T08:22:09+01:00,gpu,fp64,384,4,28.434,29.42,3.17,3917,144929
2026-07-25T08:22:08+01:00,gpu,fp64,512,5,34.915,36.55,3.15,5239,374657
2026-07-25T08:22:38+01:00,gpu,fp64,384,5,23.549,24.74,3.11,3917,144929
