iso,backend,prec,N,rep,loop_wall_s,e2e_wall_s,load1,gpu_procs,steps,fallbacks,exit
2026-07-23T09:27:49+01:00,gpu,fp64,256,v2r1,2.602,3.66,33.50,0,2595,37382,0
2026-07-23T09:27:55+01:00,gpu,fp64,256,v2r2,4.285,5.55,33.54,0,2595,37382,0
2026-07-23T09:27:59+01:00,gpu,fp64,256,v2r3,2.603,3.76,33.74,0,2595,37382,0
2026-07-23T09:28:04+01:00,gpu,fp64,256,v2r4,3.794,5.05,34.00,0,2595,37382,0
2026-07-23T09:28:08+01:00,gpu,fp64,256,v2r5,2.596,3.67,34.08,0,2595,37382,0
2026-07-23T09:28:14+01:00,gpu,fp64,256,v2r6,4.813,5.93,34.23,0,2595,37382,0
2026-07-23T09:28:18+01:00,gpu,fp64,256,v2r7,2.593,3.68,34.30,0,2595,37382,0
2026-07-23T09:28:24+01:00,gpu,fp64,256,v2r8,4.648,5.71,34.35,0,2595,37382,0
2026-07-23T09:28:28+01:00,gpu,fp64,256,v2r9,2.595,3.75,34.41,0,2595,37382,0
2026-07-23T09:28:33+01:00,gpu,fp64,256,v2r10,4.308,5.57,34.61,0,2595,37382,0
2026-07-23T09:29:07+01:00,gpu,fp64,384,v2r1,9.552,11.52,34.60,0,3917,144929,0
2026-07-23T09:29:19+01:00,gpu,fp64,384,v2r2,9.459,11.43,34.47,0,3917,144929,0
2026-07-23T09:29:31+01:00,gpu,fp64,384,v2r3,9.553,11.44,34.48,0,3917,144929,0
2026-07-23T09:29:42+01:00,gpu,fp64,384,v2r4,9.562,11.41,34.55,0,3917,144929,0
2026-07-23T09:29:54+01:00,gpu,fp64,384,v2r5,9.720,11.57,34.47,0,3917,144929,0
2026-07-23T09:30:05+01:00,gpu,fp64,384,v2r6,9.539,11.57,34.43,0,3917,144929,0
2026-07-23T09:30:17+01:00,gpu,fp64,384,v2r7,9.457,11.43,34.44,0,3917,144929,0
2026-07-23T09:30:29+01:00,gpu,fp64,384,v2r8,9.545,11.46,34.45,0,3917,144929,0
2026-07-23T09:30:40+01:00,gpu,fp64,384,v2r9,9.554,11.42,34.49,0,3917,144929,0
2026-07-23T09:30:52+01:00,gpu,fp64,384,v2r10,9.554,11.50,34.56,0,3917,144929,0
2026-07-23T09:32:03+01:00,gpu,fp64,512,v2r1,20.261,23.21,34.63,0,5239,374657,0
2026-07-23T09:32:26+01:00,gpu,fp64,512,v2r2,20.257,23.21,34.49,0,5239,374657,0
2026-07-23T09:32:49+01:00,gpu,fp64,512,v2r3,20.282,23.34,34.42,0,5239,374657,0
2026-07-23T09:33:12+01:00,gpu,fp64,512,v2r4,19.723,22.86,34.41,0,5239,374657,0
2026-07-23T09:33:36+01:00,gpu,fp64,512,v2r5,20.258,23.19,34.35,0,5239,374657,0
2026-07-23T09:33:59+01:00,gpu,fp64,512,v2r6,20.278,23.33,34.67,0,5239,374657,0
2026-07-23T09:34:23+01:00,gpu,fp64,512,v2r7,20.311,23.30,34.56,0,5239,374657,0
2026-07-23T09:34:46+01:00,gpu,fp64,512,v2r8,20.425,23.39,34.52,0,5239,374657,0
2026-07-23T09:35:12+01:00,gpu,fp64,512,v2r9,22.250,25.36,34.60,0,5239,374657,0
2026-07-23T09:35:37+01:00,gpu,fp64,512,v2r10,22.198,25.38,34.61,0,5239,374657,0
2026-07-23T09:35:48+01:00,gpu,fp32,256,v2r1,2.723,3.75,34.51,0,2595,37380,0
2026-07-23T09:35:50+01:00,gpu,fp32,256,v2r2,1.505,2.40,34.55,0,2595,37380,0
2026-07-23T09:35:55+01:00,gpu,fp32,256,v2r3,3.604,4.61,34.55,0,2595,37380,0
2026-07-23T09:35:58+01:00,gpu,fp32,256,v2r4,1.498,2.40,34.58,0,2595,37380,0
2026-07-23T09:36:02+01:00,gpu,fp32,256,v2r5,3.620,4.49,34.70,0,2595,37380,0
2026-07-23T09:36:05+01:00,gpu,fp32,256,v2r6,1.492,2.36,34.70,0,2595,37380,0
2026-07-23T09:36:09+01:00,gpu,fp32,256,v2r7,3.626,4.52,34.72,0,2595,37380,0
2026-07-23T09:36:12+01:00,gpu,fp32,256,v2r8,1.488,2.50,34.83,0,2595,37380,0
2026-07-23T09:36:15+01:00,gpu,fp32,256,v2r9,2.214,3.34,34.83,0,2595,37380,0
2026-07-23T09:36:18+01:00,gpu,fp32,256,v2r10,1.489,2.46,34.76,0,2595,37380,0
2026-07-23T09:36:38+01:00,gpu,fp32,384,v2r1,4.929,6.82,34.59,0,3917,145070,0
2026-07-23T09:36:44+01:00,gpu,fp32,384,v2r2,4.242,6.07,34.50,0,3917,145070,0
2026-07-23T09:36:51+01:00,gpu,fp32,384,v2r3,4.927,6.81,34.46,0,3917,145070,0
2026-07-23T09:36:57+01:00,gpu,fp32,384,v2r4,4.383,6.15,34.42,0,3917,145070,0
2026-07-23T09:37:03+01:00,gpu,fp32,384,v2r5,4.475,6.37,34.39,0,3917,145070,0
2026-07-23T09:37:10+01:00,gpu,fp32,384,v2r6,5.007,6.82,34.33,0,3917,145070,0
2026-07-23T09:37:18+01:00,gpu,fp32,384,v2r7,6.120,7.65,34.30,0,3917,145070,0
2026-07-23T09:37:26+01:00,gpu,fp32,384,v2r8,6.106,7.70,34.25,0,3917,145070,0
2026-07-23T09:37:33+01:00,gpu,fp32,384,v2r9,6.092,7.09,34.31,0,3917,145070,0
2026-07-23T09:37:41+01:00,gpu,fp32,384,v2r10,6.125,7.76,34.42,0,3917,145070,0
2026-07-23T09:38:22+01:00,gpu,fp32,512,v2r1,10.772,13.44,34.28,0,5239,374969,0
2026-07-23T09:38:36+01:00,gpu,fp32,512,v2r2,10.841,13.52,34.39,0,5239,374969,0
2026-07-23T09:38:50+01:00,gpu,fp32,512,v2r3,10.923,13.76,34.53,0,5239,374969,0
2026-07-23T09:39:03+01:00,gpu,fp32,512,v2r4,10.728,13.24,34.48,0,5239,374969,0
2026-07-23T09:39:17+01:00,gpu,fp32,512,v2r5,10.877,13.54,34.44,0,5239,374969,0
2026-07-23T09:39:31+01:00,gpu,fp32,512,v2r6,11.454,14.08,34.38,0,5239,374969,0
2026-07-23T09:39:45+01:00,gpu,fp32,512,v2r7,10.714,13.49,34.61,0,5239,374969,0
2026-07-23T09:39:58+01:00,gpu,fp32,512,v2r8,10.731,13.20,34.48,0,5239,374969,0
2026-07-23T09:40:11+01:00,gpu,fp32,512,v2r9,10.737,13.34,34.37,0,5239,374969,0
2026-07-23T09:40:26+01:00,gpu,fp32,512,v2r10,12.081,14.90,34.31,0,5239,374969,0
