iso,round,prec,loop_wall_s
2026-07-29T07:52:12+01:00,1,fp64,27.943
2026-07-29T07:52:31+01:00,1,fp32,14.472
2026-07-29T07:53:03+01:00,1,mixed,26.635
2026-07-29T07:53:35+01:00,2,fp64,27.330
2026-07-29T07:53:55+01:00,2,fp32,15.473
2026-07-29T07:54:27+01:00,2,mixed,28.357
2026-07-29T07:54:58+01:00,3,fp64,25.766
2026-07-29T07:55:17+01:00,3,fp32,14.614
2026-07-29T07:55:51+01:00,3,mixed,27.598
2026-07-29T07:56:26+01:00,4,fp64,30.421
2026-07-29T07:56:47+01:00,4,fp32,15.683
2026-07-29T07:57:19+01:00,4,mixed,26.582
2026-07-29T07:57:50+01:00,5,fp64,25.519
2026-07-29T07:58:10+01:00,5,fp32,15.307
2026-07-29T07:58:42+01:00,5,mixed,26.560
2026-07-29T07:59:13+01:00,6,fp64,25.435
2026-07-29T07:59:32+01:00,6,fp32,15.192
2026-07-29T08:00:08+01:00,6,mixed,30.379
2026-07-29T08:00:39+01:00,7,fp64,26.506
2026-07-29T08:00:59+01:00,7,fp32,14.678
2026-07-29T08:01:33+01:00,7,mixed,28.633
2026-07-29T08:02:06+01:00,8,fp64,28.204
2026-07-29T08:02:24+01:00,8,fp32,13.867
2026-07-29T08:02:59+01:00,8,mixed,28.962
2026-07-29T08:03:31+01:00,9,fp64,26.680
2026-07-29T08:03:48+01:00,9,fp32,12.504
2026-07-29T08:04:20+01:00,9,mixed,27.338
2026-07-29T08:04:52+01:00,10,fp64,27.070
2026-07-29T08:05:10+01:00,10,fp32,13.325
2026-07-29T08:05:44+01:00,10,mixed,28.436
