iso,prec,N,rep,loop_wall_s
2026-07-29T07:02:18+01:00,fp64,512,1,25.738
2026-07-29T07:02:48+01:00,fp64,512,2,24.954
2026-07-29T07:03:20+01:00,fp64,512,3,26.842
2026-07-29T07:03:53+01:00,fp64,512,4,27.917
2026-07-29T07:04:23+01:00,fp64,512,5,25.596
2026-07-29T07:04:55+01:00,fp64,512,6,27.081
2026-07-29T07:05:25+01:00,fp64,512,7,25.624
2026-07-29T07:05:57+01:00,fp64,512,8,27.807
2026-07-29T07:06:28+01:00,fp64,512,9,26.680
2026-07-29T07:06:58+01:00,fp64,512,10,25.497
2026-07-29T07:07:56+01:00,fp32,512,1,16.506
2026-07-29T07:08:20+01:00,fp32,512,2,18.249
2026-07-29T07:08:37+01:00,fp32,512,3,12.669
2026-07-29T07:08:53+01:00,fp32,512,4,12.628
2026-07-29T07:09:12+01:00,fp32,512,5,15.241
2026-07-29T07:09:31+01:00,fp32,512,6,13.762
2026-07-29T07:09:48+01:00,fp32,512,7,14.319
2026-07-29T07:10:08+01:00,fp32,512,8,15.660
2026-07-29T07:10:29+01:00,fp32,512,9,15.695
2026-07-29T07:10:46+01:00,fp32,512,10,12.602
2026-07-29T07:12:24+01:00,mixed,512,1,26.289
2026-07-29T07:12:56+01:00,mixed,512,2,27.113
2026-07-29T07:13:30+01:00,mixed,512,3,28.727
2026-07-29T07:14:05+01:00,mixed,512,4,29.425
2026-07-29T07:14:38+01:00,mixed,512,5,27.954
2026-07-29T07:15:18+01:00,mixed,512,6,34.743
2026-07-29T07:15:56+01:00,mixed,512,7,31.752
2026-07-29T07:16:30+01:00,mixed,512,8,29.553
2026-07-29T07:17:05+01:00,mixed,512,9,29.361
2026-07-29T07:17:38+01:00,mixed,512,10,29.245
