iso,round,variant,loop_wall_s
2026-08-02T19:54:17+01:00,1,fp64,24.895
2026-08-02T19:54:41+01:00,1,fp64_nofma,22.211
2026-08-02T19:55:11+01:00,2,fp64,25.195
2026-08-02T19:55:42+01:00,2,fp64_nofma,26.322
2026-08-02T19:56:11+01:00,3,fp64,24.540
2026-08-02T19:56:40+01:00,3,fp64_nofma,24.728
2026-08-02T19:57:08+01:00,4,fp64,23.138
2026-08-02T19:57:39+01:00,4,fp64_nofma,26.119
2026-08-02T19:58:06+01:00,5,fp64,23.174
2026-08-02T19:58:36+01:00,5,fp64_nofma,24.370
2026-08-02T19:59:06+01:00,6,fp64,23.790
2026-08-02T19:59:36+01:00,6,fp64_nofma,25.691
2026-08-02T20:00:04+01:00,7,fp64,25.069
2026-08-02T20:00:17+01:00,7,fp64_nofma,11.775
2026-08-02T20:00:30+01:00,8,fp64,11.190
2026-08-02T20:00:44+01:00,8,fp64_nofma,11.759
2026-08-02T20:00:58+01:00,9,fp64,11.362
2026-08-02T20:01:13+01:00,9,fp64_nofma,11.908
2026-08-02T20:01:27+01:00,10,fp64,11.410
2026-08-02T20:01:41+01:00,10,fp64_nofma,11.932
