iso,round,variant,loop_wall_s,e2e_s,cpu_ratio,load1
2026-08-03T18:19:49+01:00,1,O2,1745.92,1746.93,1.000,1.00
2026-08-03T18:55:19+01:00,1,O3,2128.53,2129.52,1.000,1.22
2026-08-03T19:20:48+01:00,1,Ofast,1528.11,1529.10,1.000,4.28
2026-08-03T19:49:54+01:00,2,O2,1744.94,1745.94,1.000,1.01
2026-08-03T20:34:17+01:00,2,O3,2661.28,2662.27,0.900,2.01
2026-08-03T20:58:59+01:00,2,Ofast,1480.79,1481.78,1.000,1.05
2026-08-03T21:32:04+01:00,3,O2,1984.27,1985.38,1.000,27.40
2026-08-03T22:03:18+01:00,3,O3,1872.88,1874.00,1.000,26.15
2026-08-03T22:31:30+01:00,3,Ofast,1690.55,1691.57,1.000,19.94
2026-08-03T23:01:50+01:00,4,O2,1819.05,1820.06,1.000,11.33
2026-08-03T23:29:07+01:00,4,O3,1636.2,1637.19,1.000,10.48
2026-08-03T23:54:41+01:00,4,Ofast,1532.68,1533.67,1.000,10.39
