# 布局/layout = 1D Brio-Wu   点数/N = 800   列/cols = 10
# fp64 = brio_wu_muscl_hlld_fp64_N800.dat
# fp32 = brio_wu_muscl_hlld_fp64_N800_r-cfl.dat
 var           L1      L2(RMS)         Linf      relL2
--------------------------------------------------------
 rho   2.1909e-12   5.0901e-12   3.2237e-11   7.45e-12
  vx   1.0408e-11   2.0204e-11   1.3555e-10   6.19e-11
  vy   9.3555e-12   2.1080e-11   1.4498e-10   3.18e-11
  vz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   p   3.0559e-12   7.2577e-12   5.9692e-11   1.10e-11
  Bx   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  By   5.7067e-12   1.1276e-11   7.1254e-11   1.29e-11
  Bz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   E   6.9991e-12   1.3981e-11   8.6510e-11   9.97e-12
