# 布局/layout = 1D Brio-Wu   点数/N = 800   列/cols = 10
# fp64 = brio_wu_muscl_hlld_fp64_N800.dat
# fp32 = brio_wu_muscl_hlld_fp64_N800_r-recovery+cfl+recon+hancock+flux.dat
 var           L1      L2(RMS)         Linf      relL2
--------------------------------------------------------
 rho   3.3512e-07   7.3762e-07   2.7697e-06   1.08e-06
  vx   1.3207e-07   2.5673e-07   2.2357e-06   7.87e-07
  vy   1.7068e-07   3.2928e-07   2.5733e-06   4.97e-07
  vz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   p   8.2059e-08   1.3250e-07   6.6749e-07   2.01e-07
  Bx   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  By   5.7007e-08   8.7886e-08   3.8183e-07   1.00e-07
  Bz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   E   7.8905e-08   1.2036e-07   5.2148e-07   8.58e-08
