# 布局/layout = 1D Brio-Wu   点数/N = 800   列/cols = 10
# fp64 = brio_wu_muscl_hlld_fp64_N800.dat
# fp32 = brio_wu_muscl_hlld_fp64_N800_r-recovery+cfl+recon+hancock.dat
 var           L1      L2(RMS)         Linf      relL2
--------------------------------------------------------
 rho   1.0637e-08   2.1217e-08   1.2018e-07   3.11e-08
  vx   3.9883e-08   6.3046e-08   2.6829e-07   1.93e-07
  vy   2.7265e-08   4.6944e-08   2.3528e-07   7.08e-08
  vz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   p   1.4844e-08   2.6121e-08   1.5938e-07   3.97e-08
  Bx   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  By   1.8311e-08   2.8723e-08   1.1833e-07   3.28e-08
  Bz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   E   3.1054e-08   5.1910e-08   2.7606e-07   3.70e-08
