# 布局/layout = 1D Brio-Wu   点数/N = 800   列/cols = 10
# fp64 = brio_wu_muscl_hlld_fp64_N800.dat
# fp32 = brio_wu_muscl_hlld_fp64_N800_r-flux.dat
 var           L1      L2(RMS)         Linf      relL2
--------------------------------------------------------
 rho   3.4858e-07   7.4962e-07   2.5805e-06   1.10e-06
  vx   1.6622e-07   3.7519e-07   3.3063e-06   1.15e-06
  vy   1.8341e-07   3.9043e-07   3.3603e-06   5.89e-07
  vz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   p   8.3727e-08   1.3780e-07   7.2591e-07   2.09e-07
  Bx   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  By   6.3195e-08   9.8631e-08   5.5375e-07   1.13e-07
  Bz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   E   8.0155e-08   1.2893e-07   6.5314e-07   9.19e-08
