# 布局/layout = 1D Brio-Wu   点数/N = 800   列/cols = 10
# fp64 = brio_wu_muscl_hlld_fp64_N800.dat
# fp32 = brio_wu_muscl_hlld_fp64_N800_r-hancock.dat
 var           L1      L2(RMS)         Linf      relL2
--------------------------------------------------------
 rho   9.0121e-09   1.7629e-08   1.3952e-07   2.58e-08
  vx   4.3785e-08   7.2212e-08   3.4150e-07   2.21e-07
  vy   2.7558e-08   4.7687e-08   3.2171e-07   7.19e-08
  vz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   p   1.2375e-08   2.0949e-08   1.0163e-07   3.18e-08
  Bx   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  By   1.7634e-08   2.8290e-08   1.8212e-07   3.23e-08
  Bz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   E   2.8896e-08   4.6334e-08   2.0872e-07   3.30e-08
