# 布局/layout = 1D Brio-Wu   点数/N = 800   列/cols = 10
# fp64 = brio_wu_muscl_hlld_fp64_N800.dat
# fp32 = brio_wu_muscl_hlld_fp64_N800_r-recon.dat
 var           L1      L2(RMS)         Linf      relL2
--------------------------------------------------------
 rho   4.7537e-09   9.7752e-09   5.7484e-08   1.43e-08
  vx   1.6685e-08   2.8952e-08   1.4867e-07   8.87e-08
  vy   1.2563e-08   2.1918e-08   1.2577e-07   3.31e-08
  vz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   p   5.5775e-09   1.0865e-08   7.3782e-08   1.65e-08
  Bx   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  By   8.4659e-09   1.3968e-08   6.4401e-08   1.60e-08
  Bz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   E   1.4745e-08   2.4376e-08   1.1970e-07   1.74e-08
