# 布局/layout = 1D Brio-Wu   点数/N = 800   列/cols = 10
# fp64 = brio_wu_muscl_hlld_fp64_N800.dat
# fp32 = brio_wu_muscl_hlld_fp64_N800_r-recovery.dat
 var           L1      L2(RMS)         Linf      relL2
--------------------------------------------------------
 rho   8.3222e-09   1.4643e-08   8.1676e-08   2.14e-08
  vx   3.8527e-08   7.2287e-08   5.5516e-07   2.22e-07
  vy   2.4019e-08   4.9116e-08   3.3557e-07   7.41e-08
  vz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   p   1.2963e-08   2.3741e-08   1.6335e-07   3.61e-08
  Bx   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  By   1.6501e-08   3.0066e-08   2.1564e-07   3.44e-08
  Bz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   E   2.8145e-08   4.8692e-08   2.5696e-07   3.47e-08
