# 布局/layout = 1D Brio-Wu   点数/N = 800   列/cols = 10
# fp64 = brio_wu_muscl_hlld_fp64_N800.dat
# fp32 = brio_wu_muscl_hlld_fp64_N800_r-update.dat
 var           L1      L2(RMS)         Linf      relL2
--------------------------------------------------------
 rho   1.6541e-07   2.8752e-07   1.6287e-06   4.21e-07
  vx   3.3024e-07   7.0077e-07   4.4888e-06   2.15e-06
  vy   3.6015e-07   6.8770e-07   5.7394e-06   1.04e-06
  vz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   p   1.5306e-07   2.7514e-07   3.1176e-06   4.18e-07
  Bx   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  By   1.9644e-07   3.9351e-07   2.4842e-06   4.50e-07
  Bz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   E   2.1716e-07   4.7836e-07   3.3613e-06   3.41e-07
