# 布局/layout = 1D Brio-Wu   点数/N = 800   列/cols = 10
# fp64 = brio_wu_muscl_hlld_fp64_N800.dat
# fp32 = brio_wu_muscl_hlld_fp64_N800.dat
 var           L1      L2(RMS)         Linf      relL2
--------------------------------------------------------
 rho   7.7353e-13   2.1646e-12   3.3771e-11   3.17e-12
  vx   1.8790e-12   9.8784e-12   2.0328e-10   3.03e-11
  vy   2.1726e-12   1.6290e-11   3.3020e-10   2.46e-11
  vz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   p   1.0104e-12   5.4141e-12   1.2510e-10   8.23e-12
  Bx   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  By   1.0429e-12   4.8651e-12   9.8914e-11   5.56e-12
  Bz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   E   1.6007e-12   7.0280e-12   1.5806e-10   5.01e-12
