# 布局/layout = 1D Brio-Wu   点数/N = 800   列/cols = 10
# fp64 = brio_wu_muscl_hlld_fp64_N800.dat
# fp32 = brio_wu_muscl_hlld_fp32_N800.dat
 var           L1      L2(RMS)         Linf      relL2
--------------------------------------------------------
 rho   2.4162e-07   6.3541e-07   9.4435e-06   9.30e-07
  vx   5.9076e-07   2.6682e-06   5.4268e-05   8.18e-06
  vy   7.0097e-07   4.3569e-06   8.8339e-05   6.57e-06
  vz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   p   3.1490e-07   1.4921e-06   3.4352e-05   2.27e-06
  Bx   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  By   3.3322e-07   1.3162e-06   2.6901e-05   1.50e-06
  Bz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   E   5.0857e-07   1.9482e-06   4.3190e-05   1.39e-06
