# 布局/layout = 1D Brio-Wu   点数/N = 800   列/cols = 10
# fp64 = brio_wu_muscl_hlld_fp64_N800.dat
# fp32 = brio_wu_muscl_hlld_fp64_N800.dat
 var           L1      L2(RMS)         Linf      relL2
--------------------------------------------------------
 rho   4.4962e-16   7.3134e-16   3.2196e-15   1.07e-15
  vx   7.0953e-16   1.3899e-15   1.5935e-14   4.26e-15
  vy   9.9266e-16   2.1852e-15   3.0864e-14   3.30e-15
  vz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   p   3.9260e-16   6.7414e-16   7.7716e-15   1.02e-15
  Bx   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
  By   3.5483e-16   6.5384e-16   6.8834e-15   7.47e-16
  Bz   0.0000e+00   0.0000e+00   0.0000e+00   0.00e+00
   E   5.0029e-16   1.0394e-15   9.9920e-15   7.41e-16
